Nani	2013/2014	9.21
Nani	2013/2014	6.60
Nani	2014	7.22
Nani	2012/2013	6.45
Nani	2012/2013	6.72
Nani	2012	7.13
Nani	2011/2012	7.29
Nani	2011/2012	7.42
Nani	2010/2011	6.93
Nani	2010/2011	7.71
Nani	2009/2010	7.62
Darren Fletcher	2014/2015	6.31
Darren Fletcher	2013/2014	6.24
Darren Fletcher	2013/2014	6.58
Darren Fletcher	2012/2013	6.41
Darren Fletcher	2012/2013	6.89
Darren Fletcher	2011/2012	6.92
Darren Fletcher	2011/2012	6.75
Darren Fletcher	2010/2011	6.72
Darren Fletcher	2010/2011	6.93
Darren Fletcher	2009/2010	7.04
Adnan Januzaj	2014/2015	6.28
Adnan Januzaj	2013/2014	6.52
Adnan Januzaj	2013/2014	6.96
Javier Hernández	2014/2015	6.68
Javier Hernández	2014/2015	6.33
Javier Hernández	2014/2015	6.26
Javier Hernández	2013/2014	6.03
Javier Hernández	2013/2014	6.39
Javier Hernández	2014	6.17
Javier Hernández	2013	7.21
Javier Hernández	2012/2013	6.84
Javier Hernández	2012/2013	6.80
Javier Hernández	2011/2012	6.40
Javier Hernández	2011/2012	6.68
Javier Hernández	2010/2011	6.86
James Wilson	2014/2015	6.21
Tom Thorpe	2014/2015	6.00
Alexis Sánchez	2014/2015	7.88
Alexis Sánchez	2014/2015	7.78
Alexis Sánchez	2013/2014	7.54
Alexis Sánchez	2013/2014	6.79
Alexis Sánchez	2014	8.17
Alexis Sánchez	2012/2013	7.04
Alexis Sánchez	2012/2013	6.64
Alexis Sánchez	2011/2012	7.43
Alexis Sánchez	2011/2012	6.71
Alexis Sánchez	2010/2011	7.74
Mathieu Debuchy	2014/2015	7.86
Mathieu Debuchy	2014/2015	7.56
Mathieu Debuchy	2013/2014	7.43
Mathieu Debuchy	2014	7.40
Mathieu Debuchy	2012/2013	6.35
Mathieu Debuchy	2012/2013	6.85
Mathieu Debuchy	2012/2013	7.11
Mathieu Debuchy	2012	6.59
Mathieu Debuchy	2011/2012	6.89
Mathieu Debuchy	2011/2012	6.96
Mathieu Debuchy	2010/2011	7.14
Santiago Cazorla	2014/2015	7.30
Santiago Cazorla	2014/2015	7.33
Santiago Cazorla	2013/2014	6.63
Santiago Cazorla	2013/2014	7.36
Santiago Cazorla	2014	6.84
Santiago Cazorla	2013	6.96
Santiago Cazorla	2012/2013	7.05
Santiago Cazorla	2012/2013	7.86
Santiago Cazorla	2012	6.35
Santiago Cazorla	2011/2012	7.60
Santiago Cazorla	2010/2011	7.38
Mesut Özil	2014/2015	6.65
Mesut Özil	2014/2015	7.27
Mesut Özil	2013/2014	7.23
Mesut Özil	2013/2014	6.83
Mesut Özil	2013/2014	7.28
Mesut Özil	2014	7.17
Mesut Özil	2012/2013	7.39
Mesut Özil	2012/2013	6.97
Mesut Özil	2012	7.67
Mesut Özil	2011/2012	7.37
Mesut Özil	2011/2012	7.48
Mesut Özil	2010/2011	7.44
Mesut Özil	2010/2011	7.41
Laurent Koscielny	2014/2015	7.50
Laurent Koscielny	2014/2015	7.22
Laurent Koscielny	2013/2014	7.14
Laurent Koscielny	2013/2014	7.35
Laurent Koscielny	2014	6.80
Laurent Koscielny	2012/2013	7.37
Laurent Koscielny	2012/2013	6.93
Laurent Koscielny	2012	7.20
Laurent Koscielny	2011/2012	7.53
Laurent Koscielny	2011/2012	7.24
Laurent Koscielny	2010/2011	7.46
Laurent Koscielny	2010/2011	7.05
Nacho Monreal	2014/2015	6.82
Nacho Monreal	2014/2015	7.18
Nacho Monreal	2013/2014	6.45
Nacho Monreal	2013/2014	6.71
Nacho Monreal	2013	8.25
Nacho Monreal	2012/2013	7.23
Nacho Monreal	2012/2013	7.73
Nacho Monreal	2012/2013	7.13
Nacho Monreal	2011/2012	7.17
Nacho Monreal	2010/2011	7.14
Calum Chambers	2014/2015	7.32
Calum Chambers	2014/2015	7.16
Per Mertesacker	2014/2015	6.93
Per Mertesacker	2014/2015	7.09
Per Mertesacker	2013/2014	6.83
Per Mertesacker	2013/2014	7.18
Per Mertesacker	2014	6.89
Per Mertesacker	2012/2013	6.90
Per Mertesacker	2012/2013	6.95
Per Mertesacker	2011/2012	7.11
Per Mertesacker	2011/2012	7.08
Per Mertesacker	2011/2012	6.67
Per Mertesacker	2010/2011	6.76
Per Mertesacker	2010/2011	6.83
Kieran Gibbs	2014/2015	7.47
Kieran Gibbs	2014/2015	7.06
Kieran Gibbs	2013/2014	7.04
Kieran Gibbs	2013/2014	7.06
Kieran Gibbs	2012/2013	6.98
Kieran Gibbs	2012/2013	7.11
Kieran Gibbs	2011/2012	6.55
Kieran Gibbs	2011/2012	7.06
Kieran Gibbs	2010/2011	7.04
Kieran Gibbs	2010/2011	6.55
Kieran Gibbs	2009/2010	7.13
Alex Oxlade-Chamberlain	2014/2015	7.43
Alex Oxlade-Chamberlain	2014/2015	6.99
Alex Oxlade-Chamberlain	2013/2014	7.12
Alex Oxlade-Chamberlain	2013/2014	6.57
Alex Oxlade-Chamberlain	2012/2013	6.83
Alex Oxlade-Chamberlain	2012/2013	6.77
Alex Oxlade-Chamberlain	2012	6.11
Alex Oxlade-Chamberlain	2011/2012	7.01
Aaron Ramsey	2014/2015	7.42
Aaron Ramsey	2014/2015	6.97
Aaron Ramsey	2013/2014	7.22
Aaron Ramsey	2013/2014	7.78
Aaron Ramsey	2012/2013	6.49
Aaron Ramsey	2012/2013	6.95
Aaron Ramsey	2011/2012	6.61
Aaron Ramsey	2011/2012	6.76
Aaron Ramsey	2010/2011	6.49
Aaron Ramsey	2009/2010	6.54
Mathieu Flamini	2014/2015	6.57
Mathieu Flamini	2014/2015	6.96
Mathieu Flamini	2013/2014	6.82
Mathieu Flamini	2013/2014	6.65
Mathieu Flamini	2012/2013	7.16
Mathieu Flamini	2012/2013	6.09
Mathieu Flamini	2011/2012	6.96
Mathieu Flamini	2010/2011	6.78
Mathieu Flamini	2010/2011	6.49
Mathieu Flamini	2009/2010	6.54
Héctor Bellerín	2014/2015	6.56
Héctor Bellerín	2014/2015	6.94
Olivier Giroud	2014/2015	6.88
Olivier Giroud	2013/2014	6.74
Olivier Giroud	2013/2014	7.36
Olivier Giroud	2014	6.70
Olivier Giroud	2012/2013	6.92
Olivier Giroud	2012/2013	7.10
Olivier Giroud	2012	5.87
Olivier Giroud	2011/2012	7.59
Jack Wilshere	2014/2015	6.90
Jack Wilshere	2014/2015	6.78
Jack Wilshere	2013/2014	7.13
Jack Wilshere	2013/2014	7.02
Jack Wilshere	2014	6.47
Jack Wilshere	2012/2013	7.74
Jack Wilshere	2012/2013	7.05
Jack Wilshere	2010/2011	7.43
Jack Wilshere	2010/2011	7.07
Jack Wilshere	2009/2010	6.21
Jack Wilshere	2009/2010	6.00
Wojciech Szczesny	2014/2015	6.46
Wojciech Szczesny	2014/2015	6.69
Wojciech Szczesny	2013/2014	6.60
Wojciech Szczesny	2013/2014	7.10
Wojciech Szczesny	2012/2013	6.53
Wojciech Szczesny	2012/2013	6.86
Wojciech Szczesny	2012	3.54
Wojciech Szczesny	2011/2012	6.72
Wojciech Szczesny	2011/2012	6.63
Wojciech Szczesny	2010/2011	6.76
Mikel Arteta	2014/2015	6.90
Mikel Arteta	2014/2015	6.67
Mikel Arteta	2013/2014	6.96
Mikel Arteta	2013/2014	7.14
Mikel Arteta	2012/2013	7.27
Mikel Arteta	2012/2013	7.37
Mikel Arteta	2011/2012	6.99
Mikel Arteta	2011/2012	6.66
Mikel Arteta	2011/2012	7.45
Mikel Arteta	2010/2011	7.25
Emiliano Martinez	2014/2015	6.95
Emiliano Martinez	2014/2015	6.61
Yaya Sanogo	2014/2015	6.70
Yaya Sanogo	2014/2015	6.33
Yaya Sanogo	2013/2014	7.11
Yaya Sanogo	2013/2014	6.11
Yaya Sanogo	2011/2012	6.43
Lukas Podolski	2014/2015	6.70
Lukas Podolski	2014/2015	6.25
Lukas Podolski	2013/2014	7.31
Lukas Podolski	2013/2014	6.99
Lukas Podolski	2014	6.29
Lukas Podolski	2012/2013	7.38
Lukas Podolski	2012/2013	6.98
Lukas Podolski	2012	6.63
Lukas Podolski	2011/2012	7.24
Lukas Podolski	2010/2011	7.08
Joel Campbell	2014/2015	6.46
Joel Campbell	2014/2015	6.22
Joel Campbell	2013/2014	7.01
Joel Campbell	2014	6.95
Joel Campbell	2012/2013	6.68
Tomas Rosicky	2014/2015	6.23
Tomas Rosicky	2014/2015	6.11
Tomas Rosicky	2013/2014	6.51
Tomas Rosicky	2013/2014	6.65
Tomas Rosicky	2012/2013	7.09
Tomas Rosicky	2012/2013	7.06
Tomas Rosicky	2012	6.50
Tomas Rosicky	2011/2012	6.74
Tomas Rosicky	2011/2012	6.92
Tomas Rosicky	2010/2011	6.86
Tomas Rosicky	2010/2011	6.70
Tomas Rosicky	2009/2010	6.72
Theo Walcott	2014/2015	6.10
Theo Walcott	2013/2014	6.96
Theo Walcott	2013/2014	7.13
Theo Walcott	2012/2013	6.54
Theo Walcott	2012/2013	7.24
Theo Walcott	2012	6.61
Theo Walcott	2011/2012	6.66
Theo Walcott	2011/2012	6.87
Theo Walcott	2010/2011	6.88
Theo Walcott	2010/2011	6.92
Theo Walcott	2009/2010	6.39
Francis Coquelin	2014/2015	7.14
Francis Coquelin	2014/2015	6.08
Francis Coquelin	2013/2014	6.91
Francis Coquelin	2013/2014	6.37
Francis Coquelin	2012/2013	6.55
Francis Coquelin	2012/2013	6.36
Francis Coquelin	2011/2012	6.18
Francis Coquelin	2011/2012	6.85
Ainsley Maitland-Niles	2014/2015	6.62
Stephen Warnock	2014/2015	7.32
Stephen Warnock	2013/2014	7.09
Stephen Warnock	2011/2012	7.02
Stephen Warnock	2010/2011	6.83
Stephen Warnock	2009/2010	6.45
Alex Mowatt	2014/2015	7.09
Jason Pearce	2014/2015	6.99
Liam Cooper	2014/2015	6.99
Giuseppe Bellusci	2014/2015	6.92
Giuseppe Bellusci	2013/2014	6.83
Giuseppe Bellusci	2012/2013	6.99
Giuseppe Bellusci	2011/2012	7.12
Giuseppe Bellusci	2010/2011	6.94
Rodolph Austin	2014/2015	6.82
Scott Wootton	2014/2015	7.27
Scott Wootton	2014/2015	6.78
Scott Wootton	2013/2014	6.74
Gaetano Berardi	2014/2015	6.74
Gaetano Berardi	2013/2014	6.46
Gaetano Berardi	2012/2013	6.59
Mirco Antenucci	2014/2015	6.74
Mirco Antenucci	2012/2013	5.94
Sam Byram	2014/2015	6.74
Marco Silvestri	2014/2015	6.73
Souleymane Doukara	2014/2015	6.72
Souleymane Doukara	2013/2014	5.91
Steve Morison	2014/2015	6.36
Steve Morison	2013/2014	6.88
Steve Morison	2012/2013	6.14
Billy Sharp	2014/2015	6.25
Billy Sharp	2013/2014	6.54
Billy Sharp	2013/2014	6.31
Noel Hunt	2014/2015	6.20
Noel Hunt	2014/2015	6.63
Noel Hunt	2013/2014	6.43
Michael Tonge	2014/2015	6.13
Michael Tonge	2013/2014	6.56
