Manchester United	http://www.whoscored.com/Teams/32
Liverpool	http://www.whoscored.com/Teams/26
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Blackburn	http://www.whoscored.com/Teams/158
Newcastle United	http://www.whoscored.com/Teams/23
Bolton	http://www.whoscored.com/Teams/92
West Ham	http://www.whoscored.com/Teams/29
Wigan	http://www.whoscored.com/Teams/194
Everton	http://www.whoscored.com/Teams/31
Fulham	http://www.whoscored.com/Teams/170
Charlton	http://www.whoscored.com/Teams/160
Middlesbrough	http://www.whoscored.com/Teams/21
Manchester City	http://www.whoscored.com/Teams/167
Aston Villa	http://www.whoscored.com/Teams/24
Portsmouth	http://www.whoscored.com/Teams/169
Birmingham	http://www.whoscored.com/Teams/157
West Bromwich Albion	http://www.whoscored.com/Teams/175
Sunderland	http://www.whoscored.com/Teams/16
Manchester United	http://www.whoscored.com/Teams/32
Chelsea	http://www.whoscored.com/Teams/15
Liverpool	http://www.whoscored.com/Teams/26
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Everton	http://www.whoscored.com/Teams/31
Bolton	http://www.whoscored.com/Teams/92
Reading	http://www.whoscored.com/Teams/94
Portsmouth	http://www.whoscored.com/Teams/169
Blackburn	http://www.whoscored.com/Teams/158
Aston Villa	http://www.whoscored.com/Teams/24
Middlesbrough	http://www.whoscored.com/Teams/21
Newcastle United	http://www.whoscored.com/Teams/23
Manchester City	http://www.whoscored.com/Teams/167
West Ham	http://www.whoscored.com/Teams/29
Fulham	http://www.whoscored.com/Teams/170
Wigan	http://www.whoscored.com/Teams/194
Sheffield United	http://www.whoscored.com/Teams/163
Charlton	http://www.whoscored.com/Teams/160
Watford	http://www.whoscored.com/Teams/27
Manchester United	http://www.whoscored.com/Teams/32
Chelsea	http://www.whoscored.com/Teams/15
Arsenal	http://www.whoscored.com/Teams/13
Liverpool	http://www.whoscored.com/Teams/26
Everton	http://www.whoscored.com/Teams/31
Aston Villa	http://www.whoscored.com/Teams/24
Blackburn	http://www.whoscored.com/Teams/158
Portsmouth	http://www.whoscored.com/Teams/169
Manchester City	http://www.whoscored.com/Teams/167
West Ham	http://www.whoscored.com/Teams/29
Tottenham	http://www.whoscored.com/Teams/30
Newcastle United	http://www.whoscored.com/Teams/23
Middlesbrough	http://www.whoscored.com/Teams/21
Wigan	http://www.whoscored.com/Teams/194
Sunderland	http://www.whoscored.com/Teams/16
Bolton	http://www.whoscored.com/Teams/92
Fulham	http://www.whoscored.com/Teams/170
Reading	http://www.whoscored.com/Teams/94
Birmingham	http://www.whoscored.com/Teams/157
Derby	http://www.whoscored.com/Teams/20
Manchester United	http://www.whoscored.com/Teams/32
Liverpool	http://www.whoscored.com/Teams/26
Chelsea	http://www.whoscored.com/Teams/15
Arsenal	http://www.whoscored.com/Teams/13
Everton	http://www.whoscored.com/Teams/31
Aston Villa	http://www.whoscored.com/Teams/24
Fulham	http://www.whoscored.com/Teams/170
Tottenham	http://www.whoscored.com/Teams/30
West Ham	http://www.whoscored.com/Teams/29
Manchester City	http://www.whoscored.com/Teams/167
Wigan	http://www.whoscored.com/Teams/194
Stoke	http://www.whoscored.com/Teams/96
Bolton	http://www.whoscored.com/Teams/92
Portsmouth	http://www.whoscored.com/Teams/169
Blackburn	http://www.whoscored.com/Teams/158
Sunderland	http://www.whoscored.com/Teams/16
Hull	http://www.whoscored.com/Teams/214
Newcastle United	http://www.whoscored.com/Teams/23
Middlesbrough	http://www.whoscored.com/Teams/21
