Phil Jones	http://www.whoscored.com/Players/81726
Ángel Di María	http://www.whoscored.com/Players/23110
Marouane Fellaini	http://www.whoscored.com/Players/22738
Marcos Rojo	http://www.whoscored.com/Players/70050
Daley Blind	http://www.whoscored.com/Players/70033
Ander Herrera	http://www.whoscored.com/Players/71174
Wayne Rooney	http://www.whoscored.com/Players/3859
Chris Smalling	http://www.whoscored.com/Players/71345
Rafael	http://www.whoscored.com/Players/4092
Antonio Valencia	http://www.whoscored.com/Players/18296
Robin van Persie	http://www.whoscored.com/Players/4564
Ashley Young	http://www.whoscored.com/Players/8166
David de Gea	http://www.whoscored.com/Players/79554
Jonny Evans	http://www.whoscored.com/Players/22079
Juan Mata	http://www.whoscored.com/Players/25363
Michael Carrick	http://www.whoscored.com/Players/2115
Luke Shaw	http://www.whoscored.com/Players/118244
Tyler Blackett	http://www.whoscored.com/Players/137795
Michael Keane	http://www.whoscored.com/Players/107941
Tom Cleverley	http://www.whoscored.com/Players/69956
Patrick McNair	http://www.whoscored.com/Players/244565
Falcao	http://www.whoscored.com/Players/18701
Anderson	http://www.whoscored.com/Players/21723
Danny Welbeck	http://www.whoscored.com/Players/39308
Nani	http://www.whoscored.com/Players/19104
Jesse Lingard	http://www.whoscored.com/Players/109000
Darren Fletcher	http://www.whoscored.com/Players/5835
Adnan Januzaj	http://www.whoscored.com/Players/130334
Javier Hernández	http://www.whoscored.com/Players/35003
James Wilson	http://www.whoscored.com/Players/145271
Tom Thorpe	http://www.whoscored.com/Players/107945
R. v. Persie	http://www.whoscored.com/Players/4564
W. Rooney	http://www.whoscored.com/Players/3859
J. Mata	http://www.whoscored.com/Players/25363
Á. D. María	http://www.whoscored.com/Players/23110
M. Fellaini	http://www.whoscored.com/Players/22738
W. Rooney	http://www.whoscored.com/Players/3859
T. Blackett	http://www.whoscored.com/Players/137795
M. Fellaini	http://www.whoscored.com/Players/22738
D. Blind	http://www.whoscored.com/Players/70033
R. v. Persie	http://www.whoscored.com/Players/4564
D. d. Gea	http://www.whoscored.com/Players/79554
R. v. Persie	http://www.whoscored.com/Players/4564
W. Rooney	http://www.whoscored.com/Players/3859
J. Mata	http://www.whoscored.com/Players/25363
Á. D. María	http://www.whoscored.com/Players/23110
M. Fellaini	http://www.whoscored.com/Players/22738
C. Smalling	http://www.whoscored.com/Players/71345
M. Rojo	http://www.whoscored.com/Players/70050
D. Blind	http://www.whoscored.com/Players/70033
P. Jones	http://www.whoscored.com/Players/81726
Á. D. María	http://www.whoscored.com/Players/23110
W. Rooney	http://www.whoscored.com/Players/3859
A. Herrera	http://www.whoscored.com/Players/71174
R. v. Persie	http://www.whoscored.com/Players/4564
J. Mata	http://www.whoscored.com/Players/25363
P. Jones	http://www.whoscored.com/Players/81726
Á. D. María	http://www.whoscored.com/Players/23110
M. Fellaini	http://www.whoscored.com/Players/22738
M. Rojo	http://www.whoscored.com/Players/70050
D. Blind	http://www.whoscored.com/Players/70033
D. d. Gea	http://www.whoscored.com/Players/79554
A. Valencia	http://www.whoscored.com/Players/18296
A. Young	http://www.whoscored.com/Players/8166
T. Blackett	http://www.whoscored.com/Players/137795
C. Smalling	http://www.whoscored.com/Players/71345
P. Jones	http://www.whoscored.com/Players/81726
D. Fletcher	http://www.whoscored.com/Players/5835
M. Carrick	http://www.whoscored.com/Players/2115
J. Mata	http://www.whoscored.com/Players/25363
